Sequence,scientific_name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
9047.0,kittacincla luzoniensis,Muscicapidae,Passeriformes,AVIBASE-E80564C5,5,2,2,1,4,17.0,10.7,3.5,4.8,25.9,70.6,8.0,61.5,11.5,76.8,24.0,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Generalist,12.54,18.65,15.8,121.54,76143.18
9049.0,kittacincla malabarica,Muscicapidae,Passeriformes,AVIBASE-E5ABD6CB,22,5,13,4,12,20.7,12.8,4.6,5.4,27.0,95.6,16.8,78.8,17.7,121.8,29.23,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Insessorial,-8.78,30.6,13.24,98.35,4340999.43
9051.0,kittacincla nigra,Muscicapidae,Passeriformes,AVIBASE-974AE5EC,4,2,2,0,4,19.0,11.3,3.9,4.8,24.8,82.2,12.1,70.2,14.7,96.5,28.5,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Generalist,7.8,12.33,9.97,118.72,13692.99
9048.0,kittacincla superciliaris,Muscicapidae,Passeriformes,AVIBASE-CEED5ACE,0,0,0,0,0,17.0,10.7,3.5,4.8,25.9,70.6,8.0,61.5,11.5,76.8,24.0,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Kittacincla luzoniensis,Forest,1,1.0,Carnivore,Invertivore,Generalist,9.04,12.7,10.86,122.86,24642.14
9085.0,melaenornis herero,Muscicapidae,Passeriformes,AVIBASE-D17B7DA0,4,2,2,0,4,17.7,10.1,3.9,4.3,22.9,88.5,16.0,72.5,18.1,69.5,27.2,Dunning,,NO,,,Shrubland,3,1.0,Carnivore,Invertivore,Insessorial,-25.41,-16.01,-20.2,14.62,174435.57
9086.0,melaenornis semipartitus,Muscicapidae,Passeriformes,AVIBASE-AB38EDFD,5,2,3,0,4,15.9,8.5,4.5,4.2,19.8,92.2,21.4,69.1,23.7,82.8,22.5,Dunning,,NO,,,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,-5.51,14.0,5.51,31.61,662620.71
9084.0,melaenornis silens,Muscicapidae,Passeriformes,AVIBASE-FD391374,5,2,3,0,4,17.2,9.8,4.0,4.4,23.7,90.2,19.4,70.1,21.7,78.0,25.7,Dunning,,NO,,,Woodland,3,1.0,Carnivore,Invertivore,Insessorial,-34.84,-20.6,-28.41,26.5,982178.67
9155.0,oreocossypha isabellae,Muscicapidae,Passeriformes,AVIBASE-DB856F78,5,2,3,0,4,16.5,9.2,4.3,4.3,29.5,73.6,9.7,63.3,13.3,53.2,24.0,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Generalist,4.07,7.62,6.12,10.56,51494.15
9045.0,saxicoloides fulicatus,Muscicapidae,Passeriformes,AVIBASE-9006B4EF,5,0,5,0,4,14.8,9.4,3.3,3.4,25.2,72.0,5.6,66.9,7.7,68.2,16.6,Dunning,,NO,,,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,5.92,34.58,22.66,77.31,3270463.13
9046.0,trichixos pyrropygus,Muscicapidae,Passeriformes,AVIBASE-E22B9F79,5,2,3,0,4,23.7,16.1,6.2,7.3,28.1,98.2,13.8,82.2,14.3,83.6,40.9,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Generalist,-6.17,7.1,0.86,108.54,1050012.65
7071.0,lophorina feminina,Paradisaeidae,Passeriformes,AVIBASE-0B08DF8F,2,2,0,0,2,30.4,20.0,5.5,7.6,31.0,121.0,19.2,101.8,15.9,84.5,76.66,DataFromSplit,,NO,,,Forest,1,1.0,Omnivore,Omnivore,Insessorial,,,,,
8376.0,rimator albostriatus,Pellorneidae,Passeriformes,AVIBASE-E87A913F,1,1,0,0,1,32.3,21.6,3.6,4.1,27.2,62.5,4.5,58.0,7.2,43.0,19.44,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-5.03,4.54,0.3,99.93,34692.88
8373.0,rimator danjoui,Pellorneidae,Passeriformes,AVIBASE-D6493AE5,3,2,1,0,3,36.3,25.8,3.8,4.9,29.6,79.3,4.9,74.4,6.2,67.7,35.5,Updated_literature,Rappole et al. (2005),NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,11.22,22.84,17.62,106.46,121958.86
8374.0,rimator malacoptilus,Pellorneidae,Passeriformes,AVIBASE-9293E8A9,5,1,0,4,4,24.5,17.4,3.0,3.7,23.4,57.6,4.4,53.6,7.5,32.0,19.44,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,23.73,30.01,26.96,94.83,191024.27
8372.0,rimator naungmungensis,Pellorneidae,Passeriformes,AVIBASE-10D3B698,1,1,0,0,1,39.9,29.5,3.8,5.1,29.8,78.0,3.2,74.8,4.1,58.0,35.5,Updated_literature,Rappole et al. (2005),NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,27.09,27.99,27.55,97.82,4321.04
8375.0,rimator pasquieri,Pellorneidae,Passeriformes,AVIBASE-8E29E9C5,1,0,1,0,1,26.4,18.5,3.1,3.6,23.3,59.5,3.7,55.8,6.2,23.0,19.44,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,22.09,22.62,22.35,103.79,1832.37
8349.0,trichastoma bicolor,Pellorneidae,Passeriformes,AVIBASE-D4A0A875,13,1,3,9,4,19.3,11.6,4.8,4.8,29.6,84.3,9.1,75.0,10.8,65.2,27.2,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-5.95,10.87,1.4,111.32,785296.58
8352.0,trichastoma buettikoferi,Pellorneidae,Passeriformes,AVIBASE-1DEBB8DB,4,1,3,0,4,15.8,8.7,3.8,4.0,25.6,65.8,5.9,59.9,9.0,52.0,17.1,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-5.95,5.66,-0.29,101.3,377490.65
8351.0,trichastoma celebense,Pellorneidae,Passeriformes,AVIBASE-F876CBEE,130,0,2,128,4,19.6,10.1,3.7,4.0,26.4,74.8,7.6,61.9,10.9,55.1,23.6,Dunning,,NO,,,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,-6.5,1.76,-2.17,121.2,179475.52
8347.0,trichastoma cinereiceps,Pellorneidae,Passeriformes,AVIBASE-CAA4C9CE,5,2,2,1,4,17.6,9.2,3.4,4.1,26.7,63.0,5.2,58.0,8.2,26.6,23.92,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Generalist,7.8,11.43,9.71,118.55,12143.56
8348.0,trichastoma malaccense,Pellorneidae,Passeriformes,AVIBASE-BF150AB3,11,2,3,6,4,17.5,10.3,4.1,4.3,29.5,69.0,5.0,63.6,7.4,36.0,21.4,Dunning,,NO,,,Forest,2,1.0,Carnivore,Invertivore,Generalist,-5.89,9.37,1.08,109.14,1073369.64
8353.0,trichastoma pyrrogenys,Pellorneidae,Passeriformes,AVIBASE-0CA4E55F,5,2,3,0,5,16.2,9.0,4.1,3.7,26.7,64.9,8.9,56.0,13.6,54.5,23.16,EltonTraits_GenAvg,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-8.76,6.51,1.19,114.45,193222.64
