avibase_id,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB
AVIBASE-0BCBA6B9,6675.0,0.0,2100.0,2100.0,Wetland,Herbivore,M,No,Herbivore terrestrial
AVIBASE-BDDB5670,10350.0,0.0,700.0,700.0,Wetland,Herbivore,M,No,Herbivore terrestrial
AVIBASE-E93960AB,888.25,0.0,,,Wetland,Herbivore,CP,No,Herbivore terrestrial
AVIBASE-C7FB4E76,861.75,82.0,968.0,1050.0,Riverine,Carnivore,"CR,CV",No,Invertivore
AVIBASE-B3F9BB06,2620.75,0.0,1200.0,1200.0,Coastal,Carnivore,,No,Invertivore
AVIBASE-1891E2C4,4881.25,0.0,,,Coastal,Carnivore,,Yes,Invertivore
AVIBASE-13CF7E44,3799.0,0.0,400.0,400.0,Coastal,Carnivore,BU,Yes,Invertivore
AVIBASE-63180090,3250.0,0.0,0.0,0.0,Coastal,Carnivore,,Yes,Invertivore
AVIBASE-C1068510,366.875,1500.0,2500.0,4000.0,Riverine,Carnivore,"CV,O",No,Invertivore
AVIBASE-EB01B24C,4475.0,0.0,2000.0,2000.0,Wetland,Herbivore,"CV,O",No,Omnivore
AVIBASE-6C8A4060,1817.5,0.0,300.0,300.0,Wetland,Herbivore,CV,No,Herbivore terrestrial
AVIBASE-3948131B,1817.5,0.0,2400.0,2400.0,Wetland,Herbivore,CV,No,Herbivore terrestrial
AVIBASE-842CC0BC,1796.25,2100.0,2400.0,4500.0,Grassland,Herbivore,,No,Herbivore terrestrial
AVIBASE-DA2F24E3,2021.33333,0.0,3800.0,3800.0,Wetland,Herbivore,"CP,O",No,Omnivore
AVIBASE-E4AA60C7,,,,,Wetland,Herbivore,,No,Herbivore terrestrial
AVIBASE-10D0AD82,,,,,Wetland,Herbivore,,No,Herbivore terrestrial
AVIBASE-FA5A25B2,1558.0,0.0,500.0,500.0,Wetland,Herbivore,CV,No,Omnivore
AVIBASE-BB29610F,2617.5,3000.0,2400.0,5400.0,Wetland,Herbivore,,No,Herbivore terrestrial
AVIBASE-74FC5DAB,2916.0,0.0,1500.0,1500.0,Grassland,Herbivore,,No,Herbivore terrestrial
AVIBASE-4270502F,2735.0,0.0,,,Coastal,Herbivore,,No,Herbivore terrestrial
AVIBASE-E0DEB0E7,1779.25,0.0,1500.0,1500.0,Forest,Herbivore,CV,No,Herbivore terrestrial
AVIBASE-164A10EA,1756.83333,0.0,,,Grassland,Herbivore,,No,Herbivore terrestrial
AVIBASE-13B373F3,883.5,0.0,,,Coastal,Carnivore,CV,No,Invertivore
AVIBASE-5EAB32D3,1035.5,0.0,2400.0,2400.0,Coastal,Carnivore,BU,No,Invertivore
AVIBASE-1F9D883E,1318.33333,0.0,4800.0,4800.0,Wetland,Omnivore,CV,No,Omnivore
AVIBASE-D9DEA77E,1323.66667,0.0,2400.0,2400.0,Wetland,Herbivore,"CV,BU",No,Omnivore
AVIBASE-FF1439E4,1424.5,0.0,,,Wetland,Omnivore,,No,Omnivore
AVIBASE-AB08E5C4,1569.5,0.0,,,Coastal,Herbivore,,No,Herbivore terrestrial
AVIBASE-B2EEE0EA,1235.0,0.0,,,Wetland,Herbivore,,No,Herbivore terrestrial
AVIBASE-FE03DD1E,366.25,0.0,,,Wetland,Omnivore,"M,O",No,Omnivore
AVIBASE-A9FC6BC0,345.66667,3000.0,1100.0,4100.0,Riverine,Carnivore,,No,Invertivore
AVIBASE-8DE14046,2140.0,0.0,1200.0,1200.0,Wetland,Omnivore,CV,No,Omnivore
AVIBASE-FDB6503B,2950.0,0.0,1400.0,1400.0,Wetland,Herbivore,"CV,O",No,Omnivore
AVIBASE-F28E3EB8,910.0,0.0,900.0,900.0,Wetland,Carnivore,,No,Invertivore
AVIBASE-27B2749A,691.75,0.0,900.0,900.0,Wetland,Omnivore,CV,No,Omnivore
AVIBASE-E1714A09,575.0,0.0,1500.0,1500.0,Wetland,Omnivore,CV,No,Omnivore
AVIBASE-149A8E7E,825.25,0.0,1800.0,1800.0,Wetland,Herbivore,CV,No,Herbivore terrestrial
AVIBASE-B3A6E16F,1500.0,,,,Grassland,Herbivore,,Yes,Herbivore terrestrial
AVIBASE-EC7C1618,272.5,0.0,1800.0,1800.0,Wetland,Herbivore,,No,Omnivore
AVIBASE-90AAE188,343.5,0.0,1280.0,1280.0,Wetland,Herbivore,CV,No,Omnivore
AVIBASE-D040868F,328.75,0.0,,,Wetland,Herbivore,CV,No,Omnivore
AVIBASE-DDFC6B2B,468.0,0.0,500.0,500.0,Wetland,Herbivore,"M,O,CV",No,Omnivore
AVIBASE-45C1096F,345.0,0.0,2580.0,2580.0,Wetland,Herbivore,"CV,O",No,Granivore
AVIBASE-079F846A,941.38333,0.0,4800.0,4800.0,Wetland,Carnivore,,No,Invertivore
AVIBASE-DB94B36F,1248.25,0.0,1800.0,1800.0,Riverine,Omnivore,,No,Omnivore
AVIBASE-63EABB42,446.75,0.0,2650.0,2650.0,Wetland,Herbivore,,No,Omnivore
AVIBASE-F577BA0F,401.25,0.0,1200.0,1200.0,Wetland,Omnivore,SC,No,Omnivore
AVIBASE-FA831F65,269.2,0.0,2250.0,2250.0,Wetland,Omnivore,,No,Omnivore
AVIBASE-86B0BAFA,507.75,,,4600.0,Wetland,Herbivore,SC,No,Omnivore
AVIBASE-C8F1E992,409.75,0.0,4600.0,4600.0,Wetland,Herbivore,,No,Omnivore
AVIBASE-CEFACC86,511.6,0.0,3400.0,3400.0,Wetland,Omnivore,,No,Omnivore
AVIBASE-0E599E6C,406.25,0.0,3800.0,3800.0,Wetland,Omnivore,SC,No,Omnivore
AVIBASE-90E2543E,400.5,0.0,3600.0,3600.0,Wetland,Omnivore,SC,No,Omnivore
AVIBASE-4670CF43,629.75,0.0,1000.0,1000.0,Wetland,Carnivore,,No,Invertivore
AVIBASE-A21E7645,678.0,0.0,,,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-ED4CE8E7,631.5,0.0,4000.0,4000.0,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-C235A4D7,857.5,0.0,2730.0,2730.0,Wetland,Herbivore,SC,No,Herbivore terrestrial
AVIBASE-978D4485,620.5,0.0,,,Wetland,Herbivore,,No,Herbivore terrestrial
AVIBASE-15EE0D36,783.75,0.0,3650.0,3650.0,Wetland,Herbivore,SC,No,Herbivore terrestrial
AVIBASE-0B8AF41F,922.83333,0.0,1200.0,1200.0,Wetland,Herbivore,,No,Herbivore terrestrial
AVIBASE-D201EB72,938.125,0.0,,,Wetland,Herbivore,SC,No,Herbivore terrestrial
AVIBASE-B52611C1,289.5,0.0,500.0,500.0,Wetland,Herbivore,,Yes,Herbivore terrestrial
AVIBASE-1EAFAD9F,996.83333,1000.0,3200.0,4200.0,Riverine,Omnivore,,No,Omnivore
AVIBASE-7F64AD87,907.66667,0.0,3890.0,3890.0,Wetland,Herbivore,,No,Omnivore
AVIBASE-9BA03AF9,1023.625,800.0,700.0,1500.0,Wetland,Omnivore,,No,Omnivore
AVIBASE-07479AD9,1000.5,0.0,2500.0,2500.0,Wetland,Herbivore,"CV,O",No,Herbivore terrestrial
AVIBASE-3F444E5A,465.25,0.0,,,Coastal,Carnivore,CP,No,Invertivore
AVIBASE-250EA983,573.25,0.0,3000.0,3000.0,Wetland,Omnivore,HC,No,Omnivore
AVIBASE-9AA3E5C2,850.16667,0.0,400.0,400.0,Wetland,Omnivore,,No,Omnivore
AVIBASE-759C5EB8,1220.0,0.0,,,Wetland,Herbivore,M,No,Omnivore
AVIBASE-E21470F9,1017.5,0.0,3350.0,3350.0,Wetland,Herbivore,M,No,Omnivore
AVIBASE-85625D75,1170.83333,0.0,2000.0,2000.0,Wetland,Omnivore,"CP,CV,O",No,Omnivore
AVIBASE-697B933E,1027.5,0.0,,,Wetland,Omnivore,CP,No,Omnivore
AVIBASE-C732CB10,1211.25,0.0,,,Wetland,Omnivore,SC,No,Omnivore
AVIBASE-42CF45FE,1003.75,0.0,2500.0,2500.0,Wetland,Omnivore,CP,No,Omnivore
AVIBASE-25DA0F41,423.83333,0.0,2420.0,2420.0,Wetland,Omnivore,SC,No,Omnivore
AVIBASE-D2F97D13,544.5,0.0,2500.0,2500.0,Wetland,Herbivore,,No,Omnivore
AVIBASE-8F6876AC,648.0,0.0,2450.0,2450.0,Wetland,Omnivore,M,No,Omnivore
AVIBASE-B940CCD5,626.66667,0.0,4600.0,4600.0,Wetland,Herbivore,PL,No,Omnivore
AVIBASE-8899CF64,497.0,0.0,500.0,500.0,Wetland,Carnivore,,No,Invertivore
AVIBASE-56CCA717,912.75,0.0,4000.0,4000.0,Wetland,Omnivore,SC,No,Omnivore
AVIBASE-BC6C3CCE,325.0,0.0,3350.0,3350.0,Wetland,Omnivore,CP,No,Omnivore
AVIBASE-BC6C3CCE,330.5,0.0,,,Wetland,Herbivore,CP,No,Granivore
AVIBASE-D4263C69,609.0,0.0,4500.0,4500.0,Wetland,Omnivore,CV,No,Omnivore
AVIBASE-0642F0F9,457.0,2600.0,1700.0,4300.0,Wetland,Omnivore,,No,Omnivore
AVIBASE-EC92E98D,409.25,0.0,,,Wetland,Omnivore,"CV,SC",No,Omnivore
AVIBASE-EDB1BDAA,370.0,0.0,,,Wetland,Omnivore,"CV,PL",No,Omnivore
AVIBASE-08F2BBC6,,,,,Coastal,Herbivore,,No,Herbivore terrestrial
AVIBASE-9CBAFD8F,504.25,0.0,,,Wetland,Omnivore,CV,No,Omnivore
AVIBASE-DBF66606,662.25,0.0,,,Coastal,Omnivore,CV,No,Omnivore
AVIBASE-7CBD0D73,365.0,0.0,200.0,200.0,Wetland,Carnivore,,No,Invertivore
