eBird species code 2019,Com_name,Sci_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
chihao1,Christmas Island Boobook,Ninox natalis,nominate,151476851,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.053,0.01,0.002,0.034,0,0.004,0.012,0.005,0.006,0.034,0.02,0.001,0.008,0.127,0.01,0.407,0.013,0.002,0.084,0,0.103,0,0.007,0.058
morepo2,Morepork,Ninox novaeseelandiae,leucopsis,151476561,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.073,0.031,0.031,0.042,0,0.008,0.016,0.051,0.002,0.009,0.008,0.001,0.026,0.108,0.022,0.092,0.072,0.045,0,0,0.217,0.001,0.038,0.107
morepo2,Morepork,Ninox novaeseelandiae,nominate,151476581,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.064,0.024,0.016,0.042,0,0.01,0.019,0.02,0.005,0.013,0.019,0.005,0.024,0.121,0.028,0.134,0.098,0.01,0.003,0,0.226,0,0.031,0.088
morepo2,Morepork,Ninox novaeseelandiae,undulata,151476591,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.077,0.017,0.011,0.045,0,0.004,0.018,0.027,0.011,0.015,0.011,0.006,0.021,0.111,0.027,0.207,0.018,0.021,0.019,0,0.163,0.001,0.036,0.134
brnhao3,Hume's Boobook,Ninox obscura,nominate,151476631,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.044,0.007,0.019,0.035,0,0.001,0.014,0.012,0.005,0.003,0.006,0.005,0.003,0.113,0.023,0.126,0.218,0.019,0,0,0.251,0.001,0.006,0.089
ocbhao1,Ochre-bellied Boobook,Ninox ochracea,nominate,151476761,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.149,0.008,0.008,0.07,0,0.003,0.011,0.007,0.042,0.049,0.004,0.01,0.009,0.118,0.029,0.285,0.008,0.001,0.019,0,0.087,0,0.014,0.069
nebhao1,New Britain Boobook,Ninox odiosa,nominate,151476901,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.067,0.015,0.008,0.028,0,0.005,0.02,0.01,0.003,0.005,0.014,0.003,0.018,0.148,0.022,0.233,0.046,0.009,0.004,0,0.224,0.001,0.013,0.104
phihao1,Luzon Boobook,Ninox philippensis,nominate,151476651,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.129,0.007,0.004,0.097,0,0.009,0.022,0.012,0.018,0.02,0.023,0.001,0.015,0.157,0.038,0.253,0.012,0.007,0.026,0,0.089,0,0.013,0.048
spehao1,Speckled Boobook,Ninox punctulata,nominate,151476891,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.041,0.007,0.02,0.019,0,0.02,0.016,0.011,0.018,0.011,0.024,0.005,0.012,0.103,0.015,0.069,0.142,0.015,0,0,0.326,0.001,0.005,0.12
choboo1,Chocolate Boobook,Ninox randi,nominate,151476621,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.06,0.01,0.011,0.04,0,0.004,0.018,0.014,0.005,0,0.003,0.004,0.01,0.123,0.024,0.174,0.108,0.016,0.008,0,0.285,0.001,0.014,0.068
